# Coluna1	Coluna2	Coluna3
-0.06380	-0.05325	0.05610
-0.06536	-0.05317	0.05510
-0.06533	-0.05297	0.05425
-0.06491	-0.05279	0.05365
-0.06505	-0.05285	0.05385
-0.06505	-0.05285	0.05385
-0.06437	-0.04937	0.05109
-0.06407	-0.04899	0.05013
-0.06414	-0.04758	0.04830
-0.06478	-0.04444	0.04582
-0.06465	-0.04450	0.04625
-0.06328	-0.04112	0.04620
-0.06319	-0.04074	0.04343
-0.06253	-0.03962	0.04140
-0.06221	-0.03667	0.04081
-0.06425	-0.03615	0.03865
-0.06281	-0.03279	0.03793
-0.06241	-0.03199	0.03787
-0.06203	-0.03075	0.03559
-0.06130	-0.02845	0.03375
-0.06130	-0.02845	0.03375
-0.05980	-0.02500	0.03118
-0.05935	-0.02347	0.03033
-0.05834	-0.02057	0.03103
-0.05385	-0.01326	0.02808
-0.04795	-0.00690	0.02270
-0.04603	-0.00046	0.01926
-0.04184	0.00632	0.01759
-0.03585	0.01281	0.01611
-0.03214	0.01833	0.01387
-0.02930	0.02185	0.01215
-0.02706	0.02477	0.01019
-0.02415	0.02540	0.00924
-0.02209	0.02482	0.00816
-0.02308	0.02528	0.00719
-0.02540	0.02660	0.00760
-0.02433	0.03222	0.01357
-0.02333	0.03523	0.02314
-0.02301	0.04458	0.02635
-0.02188	0.06038	0.02333
-0.02000	0.07110	0.02015
-0.01911	0.08308	0.01593
-0.01669	0.08698	0.01481
-0.01285	0.09079	0.01362
-0.01068	0.09142	0.01298
-0.01195	0.08340	0.01450
-0.01091	0.07984	0.01438
-0.00957	0.07726	0.01412
-0.00998	0.07098	0.01508
-0.01034	0.06468	0.01598
-0.00950	0.06120	0.01610
-0.00809	0.05742	0.02006
-0.00732	0.05085	0.03574
-0.01011	0.04451	0.04764
-0.01360	0.03834	0.04890
-0.01510	0.03060	0.05075
-0.01657	0.02320	0.05460
-0.02393	0.01419	0.05303
-0.03114	0.00689	0.05208
